Date,variant_freq,label,label1
2021-11-15,0.957694663656173,70perc1May,high
2021-11-16,0.9576949500421021,70perc1May,high
2021-11-17,0.9576952210586125,70perc1May,high
2021-11-18,0.957695477530524,70perc1May,high
2021-11-19,0.9576957202383924,70perc1May,high
2021-11-20,0.9576959499208845,70perc1May,high
2021-11-21,0.9576961672770259,70perc1May,high
2021-11-22,0.957696372968329,70perc1May,high
2021-11-23,0.9576965676208054,70perc1May,high
2021-11-24,0.9576967518268712,70perc1May,high
2021-11-25,0.9576969261471504,70perc1May,high
2021-11-26,0.95769709111218,70perc1May,high
2021-11-27,0.9576972472240256,70perc1May,high
2021-11-28,0.9576973949578085,70perc1May,high
2021-11-29,0.9576975347631529,70perc1May,high
2021-11-30,0.9576976670655523,70perc1May,high
2021-12-01,0.957697792267666,70perc1May,high
2021-12-02,0.9576979107505441,70perc1May,high
2021-12-03,0.9576980228747873,70perc1May,high
2021-12-04,0.9576981289816436,70perc1May,high
2021-12-05,0.957698229394048,70perc1May,high
2021-12-06,0.9576983244176043,70perc1May,high
2021-12-07,0.9576984143415154,70perc1May,high
2021-12-08,0.9576984994394643,70perc1May,high
2021-12-09,0.957698579970446,70perc1May,high
2021-12-10,0.9576986561795559,70perc1May,high
2021-12-11,0.9576987282987361,70perc1May,high
2021-12-12,0.9576987965474812,70perc1May,high
2021-12-13,0.9576988611335064,70perc1May,high
2021-12-14,0.9576989222533787,70perc1May,high
2021-12-15,0.957698980093117,70perc1May,high
2021-12-16,0.9576990348287564,70perc1May,high
2021-12-17,0.9576990866268851,70perc1May,high
2021-12-18,0.9576991356451506,70perc1May,high
2021-12-19,0.9576991820327407,70perc1May,high
2021-12-20,0.9576992259308362,70perc1May,high
2021-12-21,0.957699267473041,70perc1May,high
2021-12-22,0.9576993067857892,70perc1May,high
2021-12-23,0.9576993439887296,70perc1May,high
2021-12-24,0.9576993791950895,70perc1May,high
2021-12-25,0.9576994125120201,70perc1May,high
2021-12-26,0.9576994440409214,70perc1May,high
2021-12-27,0.9576994738777523,70perc1May,high
2021-12-28,0.9576995021133216,70perc1May,high
2021-12-29,0.9576995288335641,70perc1May,high
2021-12-30,0.9576995541198037,70perc1May,high
2021-12-31,0.9576995780489991,70perc1May,high
